formula_id,formula_name,symbolic_form,primary_source,primary_source_line,status,observable_class,ligo_usable,restriction,authorization_level,supporting_sources,notes
F011,h_SSZ_V0,h_SSZ_V0(f)=h_GR·(1+deltaA)·exp(i·deltaPsi),"06_STRONG_FIELD/h_ssz_v0_derivation.md","ssz-complete-documentation/06_STRONG_FIELD/h_ssz_v0_derivation.md",DERIVED_V1,GW_STRAIN_WAVEFORM,YES,"Constructed from deltaA (DERIVED_V1) and deltaPsi (DERIVED_V1). GR control = analytic TaylorF2 0PN. NOT a full IMR template. NO claim-ready.",CONSTRUCTED_FROM_DERIVED,"delta_a_derivation.md; delta_psi_derivation.md; ch31-authorization.md","Pipeline result: delta_lnL ~ 6e-6 → INDISTINGUISHABLE from GR in inspiral weak-field. MF-SNR drop is template-mismatch artifact."
F012,epsilon_220,epsilon_220 — 3 Werte (3%/31%/39%),"06_STRONG_FIELD/epsilon_220_derivation_status.md","ssz-complete-documentation/06_STRONG_FIELD/epsilon_220_derivation_status.md",BLOCKED_CONFLICT,GW_RINGDOWN_QNM,NO,"THREE values measure DIFFERENT observables under same label. 3%=QNM freq exploratorisch. 31%=D_min² amplitude (superseded). 39%=Source-Frame QNM freq ratio (NOT LIGO strain). NONE are LIGO-strain compatible.",AUTHOR_REVIEW_REQUIRED,"qnm_spectrum.md; ssz-ligo-tests/docs/EPSILON_220_DERIVATION_STATUS.md","Category error: 39% is f_QNM_SSZ/f_QNM_GR=1/D(r*) at r*=1.387r_s — source-frame, not detector-frame strain. Author decision REQUIRED."
F013,RSG_k_eff,RSG Phase: k_eff=k·s(r); Φ=k∫s(r)dr,"prime_directive.md §; RSG/WKB Phase Connection Ch.10 Z.9077","ssz-complete-documentation/11_GUARDRAILS/prime_directive.md",AUTHORIZED_CH31,RADIAL_SCALING_GAUGE,YES,"Eikonal integral in GRIN medium with refractive index s(r). Bridge between RSG and GW phase. Hamilton-Jacobi S_r(r) at Ch.31 Z.18677 is authoritative.",BOOK_AUTHORIZED,"ssz-segmented-spacetime skill §17; ch31-authorization.md","RSG phase NOT yet implemented in deltaPsi_V0. This is the BLOCKER for DERIVED_V1 → LOCKED_FINAL."
F014,HJ_phase_integral,Hamilton-Jacobi: S_r(r)=∫s(r)/D(r)·√[E²/(D²c⁴)−L²/(r²s²)−ε/s²]dr,"SSZ_BOOK_EN_PERFECTED.md Ch.31 Z.18677","E:\clone\book-full\05_OUTPUT\V7_BUILD\06_final_v7\SSZ_BOOK_EN_PERFECTED.md",AUTHORIZED_CH31,GW_PHASE_GENERAL,YES,"General orbit GW phase integral. Authoritative method for deltaPsi. Ch.31 Z.18677. V0 Kepler-Approx is a special case.",BOOK_AUTHORIZED,"ch31-authorization.md","The authoritative GW-phase method. When implemented, enables LOCKED_FINAL for deltaPsi."
F015,v_esc_v_fall,v_esc·v_fall=c²; v_esc=c·√(r_s/r); v_fall=c·√(r/r_s),formula_compendium.md §B.3,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,DUAL_VELOCITIES,NO,"Universal invariant independent of M. Not directly LIGO-relevant.",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §6; 06_PAPERS Paper #5","Kinematic closure."
F016,Maxwell_rotating_space,Maxwell-Rotating-Space: Ω²∓ωΩ−c²k²=0; ΔΦ_geo≈½∫ω(r(s))ds,"06_PAPERS Paper #13","E:\clone\book-full\06_PAPERS\markdown_pdf\SegmentedSpacetime-MaxwellWavesasRotatingSpace.md",AUTHORIZED_CH31,POLARIZATION_ROTATION,NO,"Helicity-dependent dispersion. Geometric polarization rotation. NOT directly LIGO-relevant for strain. May be relevant for GW polarization tests.",BOOK_DERIVED,"ssz-segmented-spacetime skill §7 (old); Paper #13","c remains constant. Helicity splitting from Coriolis-like interaction."
F017,rotor_twist_polarization,Rotor/Twist/Polarization in SSZ frame-dragging,"06_PAPERS Paper #3 (LLI+FrameDragging)","E:\clone\book-full\06_PAPERS\markdown_pdf\ATransformation-BasedDefinitionofLocalLorentzInvarianceandItsConnectiontoFrameDragging.md",AUTHORIZED_CH31,FRAME_DRAGGING,NO,"Twist/polarization effects from segmented frame-dragging. NOT directly LIGO-relevant for strain waveform. Relevant for GW polarization propagation tests.",BOOK_DERIVED,"06_PAPERS Paper #3; ssz-segmented-spacetime skill §33 (frame_dragging)","Timelike orbit observable → PPN method, not Ξ-only."
F018,blend_zone,C²-Hermite Blend: Ξ_blend=H₅(t) for 1.8≤r/r_s≤2.2,"formula_compendium.md §B.2","ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,REGIME_TRANSITION,YES,"C²-continuous transition between g1/g2. Mandatory for all Xi(r) evaluations. Blend zone 1.8-2.2 (NOT 0.8-2.2 — V55 error).",PRIMARY_AXIOM,"forbidden_formulas.md §7; prime_directive.md §3","V55 error corrected: 0.8 is a typo."
F019,no_retuning_theorem,Photon invariant phase rate: φ_rate=ν·D(r)=const,"06_PAPERS Paper #1; Ch.15 Z.11841-12214","E:\clone\book-full\06_PAPERS\markdown_pdf\ANo-GoTheoremforIn-FlightPhotonRetuning.md",LOCKED_FINAL,REDSHIFT_LAW,NO,"Photon does NOT retune during flight. z ≠ 0 → no retuning. Contrapositive proven. NOT directly LIGO-relevant.",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §19; formula_compendium.md §B.1","Pound-Rebka confirmed at 9.9σ."
F020,SSZ_metric,SSZ Metric: ds²=−D²c²dt²+s²dr²+r²dΩ²,formula_compendium.md §B.1 (implied); 06_PAPERS Paper #14,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SSZ_METRIC,YES,"g_tt=−D² (finite: −0.308 at r_s). g_rr=+s² (finite: 3.248 at r_s). No coordinate singularity. Underpins all GW derivations.",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §3; 06_PAPERS Paper #14","Finite at horizon."
F021,PPN_beta_gamma,PPN: β=1 γ=1 (exact in SSZ),formula_compendium.md §B.5,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,PPN_PARAMETERS,YES,"SSZ=GR in weak field. Cassini: γ=1.000021±0.000023. Confirmed for lensing/Shapiro.",PRIMARY_AXIOM,"method_assignment.md; prime_directive.md §2","SSZ matches GR exactly in PPN."
F022,D_min,D_min=0.55503 (at r=r_s),formula_compendium.md §B.7,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SPECIAL_VALUE,YES,"D(r_s)=1/(2−e^(−φ))=0.555027710. Finite! No singularity. Enters all GW formulas at r=r_s.",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §5; V54 CANONICAL; 06_PAPERS Paper #8,#17","Derived from φ, not fitted."
F023,Xi_max,Xi_max=1−e^(−φ)=0.801711847 (at r=r_s),formula_compendium.md §B.7,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SPECIAL_VALUE,YES,"Saturation value. Enters all GW formulas. NOT 0.802 (V5x rounding error).",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §5; V54 CANONICAL; 06_PAPERS Paper #8,#17","5 decimal places mandatory."
F024,r_star_operative,r*/r_s=1.386562 (operative g2, Xi_sat D_SSZ=D_GR intersection),"formula_compendium.md §B.7","ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SPECIAL_VALUE,YES,"Operative intersection radius. D_SSZ(r*)=D_GR(r*)=0.528007. Used in all pipelines.",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §5; GR_SSZ_INTERSECTION_PHI_DISCRETIZATION.md","Xi_B (saturation) intersection. Confirmed by φ-Bracket Theorem."
F025,r_star_didactic,r*/r_s=1.594811 (didactic decay, Xi_A D_SSZ=D_GR intersection),"formula_compendium.md §B.7","ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SPECIAL_VALUE,NO,"Didactic intersection for Xi_dec. NOT operative g2. Use 1.387 for all calculations.",NOT_OPERATIVE,"ssz-segmented-spacetime skill §5; GR_SSZ_INTERSECTION_PHI_DISCRETIZATION.md","Xi_A (decay) intersection. Didactic only."
F026,N0,N₀=4 (minimum segments per wavelength),"06_PAPERS Paper #17","E:\clone\book-full\06_PAPERS\markdown_pdf\SegmentedSpacetime-ANewPerspectiveonLightGravityandBlackHoles.md",LOCKED_FINAL,SEGMENT_COUNT,NO,"Basis for discrete SSZ. From 2π/(π/2)=4 and φ⁴/φ⁰=4. Not directly LIGO-relevant.",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §25 (Ch.2); V54 CANONICAL","Two independent derivations converge."
F027,two_phi_pi,2φ≈π (3% at unit radius),"06_PAPERS Paper #4","E:\clone\book-full\06_PAPERS\markdown_pdf\SegmentedSpacetimeCosmicCensorshipConjecture.md",LOCKED_FINAL,STRUCTURAL_CONSTANT,NO,"Geometric anchor. Not numerical coincidence. Not directly LIGO-relevant.",PRIMARY_AXIOM,"ssz-segmented-spacetime skill §25 (Ch.2); V54 CANONICAL","BH horizons are circular BECAUSE of this relation."
